Row,Column,Red,Green,Blue
1,1,255,255,255
1,2,255,255,255
1,3,255,255,255
1,4,255,255,255
1,5,255,255,255
1,6,255,255,255
1,7,255,255,255
1,8,255,255,255
1,9,255,255,255
1,10,255,255,255
1,11,255,255,255
1,12,255,255,255
1,13,255,255,255
1,14,255,255,255
1,15,255,255,255
1,16,255,255,255
1,17,255,255,255
1,18,255,255,255
1,19,255,255,255
1,20,255,255,255
1,21,255,255,255
1,22,255,255,255
1,23,255,255,255
1,24,255,255,255
1,25,205,205,205
1,26,50,50,50
1,27,0,0,0
1,28,0,0,0
1,29,0,0,0
1,30,0,0,0
1,31,0,0,0
1,32,0,0,0
1,33,0,0,0
1,34,0,0,0
1,35,0,0,0
1,36,0,0,0
1,37,0,0,0
1,38,0,0,0
1,39,0,0,0
1,40,0,0,0
1,41,0,0,0
1,42,0,0,0
1,43,0,0,0
1,44,0,0,0
1,45,0,0,0
1,46,0,0,0
1,47,0,0,0
1,48,0,0,0
1,49,0,0,0
1,50,50,50,50
1,51,205,205,205
1,52,255,255,255
1,53,255,255,255
1,54,255,255,255
1,55,255,255,255
1,56,255,255,255
1,57,255,255,255
1,58,255,255,255
1,59,255,255,255
1,60,255,255,255
1,61,255,255,255
1,62,255,255,255
1,63,255,255,255
1,64,255,255,255
1,65,255,255,255
1,66,255,255,255
1,67,255,255,255
1,68,255,255,255
1,69,255,255,255
1,70,255,255,255
1,71,255,255,255
1,72,255,255,255
1,73,255,255,255
1,74,255,255,255
1,75,205,205,205
1,76,50,50,50
1,77,0,0,0
1,78,0,0,0
1,79,0,0,0
1,80,0,0,0
1,81,0,0,0
1,82,0,0,0
1,83,0,0,0
1,84,0,0,0
1,85,0,0,0
1,86,0,0,0
1,87,0,0,0
1,88,0,0,0
1,89,0,0,0
1,90,0,0,0
1,91,0,0,0
1,92,0,0,0
1,93,0,0,0
1,94,0,0,0
1,95,0,0,0
1,96,0,0,0
1,97,0,0,0
1,98,0,0,0
1,99,0,0,0
1,100,50,50,50
1,101,205,205,205
1,102,255,255,255
1,103,255,255,255
1,104,255,255,255
1,105,255,255,255
1,106,255,255,255
